y.year,m.month,z.zip,sum(c.amount)
2015,3,22405,300
2015,3,40223,2000
2015,3,70458,250
2015,3,32507,725
2015,3,45373,250
2015,3,15102,1600
2015,3,75949,250
2015,3,32202,500
2015,3,95633,750
2015,3,97499,900
2015,3,98908,500
2015,3,20817,13450
2015,3,21131,750
2015,3,48127,250
2015,3,13442,300
2015,3,27860,500
2015,3,97266,600
2015,3,19426,2050
2015,3,45247,1250
2015,3,37083,250
2015,3,43031,750
2015,3,20180,1000
2015,3,80004,250
2015,3,33144,300
2015,3,68242,2700
2015,3,29475,1100
2015,3,98136,300
2015,3,88240,2950
2015,3,14411,500
2015,3,95624,250
2015,3,63801,800
2015,3,48381,3200
2015,3,79065,250
2015,3,75763,250
2015,3,17545,600
2015,3,55092,250
2015,3,89158,5500
2015,3,73628,2500
2015,3,68801,4700
2015,3,91042,200
2015,3,75503,11225
2015,3,33156,1000
2015,3,20147,300
2015,3,49009,250
2015,3,78123,5500
2015,3,40109,50
2015,3,10583,13650
2015,3,33138,1250
2015,3,78132,850
2015,3,77073,300
2015,3,35758,500
2015,3,35040,250
2015,3,95205,1006
2015,3,79361,250
2015,3,22901,250
2015,3,98166,1200
2015,3,28078,250
2015,3,21044,250
2015,3,94945,250
2015,3,34134,700
2015,3,68137,250
2015,3,29307,500
2015,3,92083,600
2015,3,89131,250
2015,3,43357,500
2015,3,29720,1300
2015,3,32779,750
2015,3,63041,475
2015,3,21663,500
2015,3,75225,71220
2015,3,84035,500
2015,3,29020,3000
2015,3,95501,250
2015,3,98112,865
2015,3,75234,2000
2015,3,67204,1500
2015,3,37615,50
2015,3,63122,4860
2015,3,97439,500
2015,3,23233,1000
2015,3,75243,250
2015,3,48740,250
2015,3,90405,250
2015,3,20003,1500
2015,3,77450,30025
2015,3,70506,1410
2015,3,63131,1000
2015,3,89445,10850
2015,3,94595,250
2015,3,97116,2750
2015,3,55110,550
2015,3,20120,10925
2015,3,97224,2050
2015,3,22309,500
2015,3,92119,300
2015,3,83712,350
2015,3,49341,1000
2015,3,17204,250
2015,3,77396,1000
2015,3,71107,250
2015,3,77055,60960
2015,3,64100,800
2015,3,98103,850
2015,3,92128,550
2015,3,50436,600
2015,3,84780,500
2015,3,23188,300
2015,3,84098,1000
2015,3,86305,600
2015,3,70802,250
2015,3,80016,500
2015,3,77064,275
2015,3,37920,250
2015,3,69061,1000
2015,3,95223,525
2015,3,84107,250
2015,3,48363,2700
2015,3,44281,250
2015,3,75602,1000
2015,3,33703,1000
2015,3,92675,1500
2015,3,37660,500
2015,3,28105,1000
2015,3,93402,250
2015,3,99350,250
2015,3,32250,1750
2015,3,64701,450
2015,3,28643,250
2015,3,60305,500
2015,3,59901,1250
2015,3,98363,250
2015,3,78374,250
2015,3,10520,300
2015,3,71403,10820
2015,3,77351,250
2015,3,32259,1800
2015,3,92110,300
2015,3,37211,1000
2015,3,77387,2700
2015,3,19061,750
2015,3,47116,200
2015,3,64064,250
2015,3,84403,1250
2015,3,77459,1550
2015,3,76714,500
2015,3,32806,1000
2015,3,91105,12300
2015,3,93312,500
